Komentar,Username,Like,Sentimen,cleaning,case_folding,token,stopword,stemming
Lebih yakin Indonesia gelap sih,@navigasiin,0,Netral,Lebih yakin Indonesia gelap sih,lebih yakin indonesia gelap sih,"['lebih', 'yakin', 'indonesia', 'gelap', 'sih']","['lebih', 'yakin', 'indonesia', 'gelap', 'sih']",lebih yakin indonesia gelap sih
lah bukannya pak bennix juga sempat singgung potensi indonesia ke frontier market?,@arsyad4492,0,Netral,lah bukannya pak bennix juga sempat singgung potensi indonesia ke frontier market,lah bukannya pak bennix juga sempat singgung potensi indonesia ke frontier market,"['lah', 'bukannya', 'pak', 'bennix', 'juga', 'sempat', 'singgung', 'potensi', 'indonesia', 'ke', 'frontier', 'market']","['lah', 'bukannya', 'pak', 'bennix', 'sempat', 'singgung', 'potensi', 'indonesia', 'frontier', 'market']",lah bukan pak bennix sempat singgung potensi indonesia frontier market
"MSCI cm ingin bursa kita berbenah, tentang keterbukaan informasi. market kita terlalu besar kl di downgrade ke frontier market. optimis aja Q3-Q4 2026 IHSG rebound gaes.",@Studio-ji4dj,0,Netral,MSCI cm ingin bursa kita berbenah tentang keterbukaan informasi market kita terlalu besar kl di downgrade ke frontier market optimis aja QQ IHSG rebound gaes,msci cm ingin bursa kita berbenah tentang keterbukaan informasi market kita terlalu besar kl di downgrade ke frontier market optimis aja qq ihsg rebound gaes,"['msci', 'cm', 'ingin', 'bursa', 'kita', 'berbenah', 'tentang', 'keterbukaan', 'informasi', 'market', 'kita', 'terlalu', 'besar', 'kl', 'di', 'downgrade', 'ke', 'frontier', 'market', 'optimis', 'aja', 'qq', 'ihsg', 'rebound', 'gaes']","['msci', 'cm', 'ingin', 'bursa', 'berbenah', 'tentang', 'keterbukaan', 'informasi', 'market', 'terlalu', 'besar', 'kl', 'downgrade', 'frontier', 'market', 'optimis', 'aja', 'qq', 'ihsg', 'rebound', 'gaes']",msci cm ingin bursa benah tentang buka informasi market terlalu besar kl downgrade frontier market optimis aja qq ihsg rebound gaes
"Rupiah turun pasti karena ini sih om 😅😅😅

https://youtu.be/XKTBX9-pkRI",@Clipperindonesia1,0,Netral,Rupiah turun pasti karena ini sih om,rupiah turun pasti karena ini sih om,"['rupiah', 'turun', 'pasti', 'karena', 'ini', 'sih', 'om']","['rupiah', 'turun', 'pasti', 'sih', 'om']",rupiah turun pasti sih om
"Mau bangkrut atau enggak kita tetap hidup di negara ini
Jadi mari kita jaga negara kita jangan sampai terpecah belah 
❤ Indonesia",@vogspeed,0,Netral,Mau bangkrut atau enggak kita tetap hidup di negara ini Jadi mari kita jaga negara kita jangan sampai terpecah belah Indonesia,mau bangkrut atau enggak kita tetap hidup di negara ini jadi mari kita jaga negara kita jangan sampai terpecah belah indonesia,"['mau', 'bangkrut', 'atau', 'enggak', 'kita', 'tetap', 'hidup', 'di', 'negara', 'ini', 'jadi', 'mari', 'kita', 'jaga', 'negara', 'kita', 'jangan', 'sampai', 'terpecah', 'belah', 'indonesia']","['mau', 'bangkrut', 'enggak', 'tetap', 'hidup', 'negara', 'jadi', 'mari', 'jaga', 'negara', 'jangan', 'sampai', 'terpecah', 'belah', 'indonesia']",mau bangkrut enggak tetap hidup negara jadi mari jaga negara jangan sampai pecah belah indonesia
"Enggak apa-apa downgrade IHSG, yang penting saya bisa serok terus saham-saham bluechip yang membagikan dividen. Lagipula perusahaan yang saham bluechip bisnis sudah go internasional",@moch.arungsamudra,1,Netral,Enggak apaapa downgrade IHSG yang penting saya bisa serok terus sahamsaham bluechip yang membagikan dividen Lagipula perusahaan yang saham bluechip bisnis sudah go internasional,enggak apaapa downgrade ihsg yang penting saya bisa serok terus sahamsaham bluechip yang membagikan dividen lagipula perusahaan yang saham bluechip bisnis sudah go internasional,"['enggak', 'apaapa', 'downgrade', 'ihsg', 'yang', 'penting', 'saya', 'bisa', 'serok', 'terus', 'sahamsaham', 'bluechip', 'yang', 'membagikan', 'dividen', 'lagipula', 'perusahaan', 'yang', 'saham', 'bluechip', 'bisnis', 'sudah', 'go', 'internasional']","['enggak', 'apaapa', 'downgrade', 'ihsg', 'penting', 'bisa', 'serok', 'terus', 'sahamsaham', 'bluechip', 'membagikan', 'dividen', 'lagipula', 'perusahaan', 'saham', 'bluechip', 'bisnis', 'sudah', 'go', 'internasional']",enggak apaapa downgrade ihsg penting bisa serok terus sahamsaham bluechip bagi dividen lagipula usaha saham bluechip bisnis sudah go internasional
Peduli amat IHSG yg penting MBG & Kopdes harus terus jalan!!! Kalo perlu jangan 1T sehari tapi 10T per hari,@OkhiSafarudin,1,Netral,Peduli amat IHSG yg penting MBG Kopdes harus terus jalan Kalo perlu jangan T sehari tapi T per hari,peduli amat ihsg yg penting mbg kopdes harus terus jalan kalo perlu jangan t sehari tapi t per hari,"['peduli', 'amat', 'ihsg', 'yg', 'penting', 'mbg', 'kopdes', 'harus', 'terus', 'jalan', 'kalo', 'perlu', 'jangan', 't', 'sehari', 'tapi', 't', 'per', 'hari']","['peduli', 'amat', 'ihsg', 'yg', 'penting', 'mbg', 'kopdes', 'harus', 'terus', 'jalan', 'kalo', 'perlu', 'jangan', 't', 'sehari', 'tapi', 't', 'per', 'hari']",peduli amat ihsg yg penting mbg kopdes harus terus jalan kalo perlu jangan t hari tapi t per hari
"Terlepas dari omongan Bennix itu buzzer pemerintah, saya org yg fokus dg apa yg Bennix omongin, dia ga selalu bela pemerintah, kalau kebijakannya mmg nyeleneh dia juga nge-g*bl*k""in. Justru dari Bennix sebenarnya kita belajar dari banyak sudut pandang, agar ketika kritik kebijakan kita bisa pakai cara yg cerdas.",@TheDodydydo,0,Netral,Terlepas dari omongan Bennix itu buzzer pemerintah saya org yg fokus dg apa yg Bennix omongin dia ga selalu bela pemerintah kalau kebijakannya mmg nyeleneh dia juga ngegblkin Justru dari Bennix sebenarnya kita belajar dari banyak sudut pandang agar ketika kritik kebijakan kita bisa pakai cara yg cerdas,terlepas dari omongan bennix itu buzzer pemerintah saya org yg fokus dg apa yg bennix omongin dia ga selalu bela pemerintah kalau kebijakannya mmg nyeleneh dia juga ngegblkin justru dari bennix sebenarnya kita belajar dari banyak sudut pandang agar ketika kritik kebijakan kita bisa pakai cara yg cerdas,"['terlepas', 'dari', 'omongan', 'bennix', 'itu', 'buzzer', 'pemerintah', 'saya', 'org', 'yg', 'fokus', 'dg', 'apa', 'yg', 'bennix', 'omongin', 'dia', 'ga', 'selalu', 'bela', 'pemerintah', 'kalau', 'kebijakannya', 'mmg', 'nyeleneh', 'dia', 'juga', 'ngegblkin', 'justru', 'dari', 'bennix', 'sebenarnya', 'kita', 'belajar', 'dari', 'banyak', 'sudut', 'pandang', 'agar', 'ketika', 'kritik', 'kebijakan', 'kita', 'bisa', 'pakai', 'cara', 'yg', 'cerdas']","['terlepas', 'omongan', 'bennix', 'buzzer', 'pemerintah', 'org', 'yg', 'fokus', 'dg', 'apa', 'yg', 'bennix', 'omongin', 'dia', 'ga', 'selalu', 'bela', 'pemerintah', 'kalau', 'kebijakannya', 'mmg', 'nyeleneh', 'dia', 'ngegblkin', 'justru', 'bennix', 'sebenarnya', 'belajar', 'banyak', 'sudut', 'pandang', 'agar', 'ketika', 'kritik', 'kebijakan', 'bisa', 'pakai', 'cara', 'yg', 'cerdas']",lepas omong bennix buzzer perintah org yg fokus dg apa yg bennix omongin dia ga selalu bela perintah kalau bijak mmg nyeleneh dia ngegblkin justru bennix benar ajar banyak sudut pandang agar ketika kritik bijak bisa pakai cara yg cerdas
MSCI itu ormas preman internasional yang tidak punya hak intervensi pasar saham negara manapun kenapa Indonesia ketakutan pada MSCI preman,@BiroGani-g4k,1,Netral,MSCI itu ormas preman internasional yang tidak punya hak intervensi pasar saham negara manapun kenapa Indonesia ketakutan pada MSCI preman,msci itu ormas preman internasional yang tidak punya hak intervensi pasar saham negara manapun kenapa indonesia ketakutan pada msci preman,"['msci', 'itu', 'ormas', 'preman', 'internasional', 'yang', 'tidak', 'punya', 'hak', 'intervensi', 'pasar', 'saham', 'negara', 'manapun', 'kenapa', 'indonesia', 'ketakutan', 'pada', 'msci', 'preman']","['msci', 'ormas', 'preman', 'internasional', 'tidak', 'punya', 'hak', 'intervensi', 'pasar', 'saham', 'negara', 'manapun', 'kenapa', 'indonesia', 'ketakutan', 'msci', 'preman']",msci ormas preman internasional tidak punya hak intervensi pasar saham negara mana kenapa indonesia takut msci preman
Benix buzeer.. MBG dia dukung.. padahal itu kontrak politik... MBG terbukti ladang korupsi... Jangan percaya kata dia,@YoungLack-m8l,0,Negatif,Benix buzeer MBG dia dukung padahal itu kontrak politik MBG terbukti ladang korupsi Jangan percaya kata dia,benix buzeer mbg dia dukung padahal itu kontrak politik mbg terbukti ladang korupsi jangan percaya kata dia,"['benix', 'buzeer', 'mbg', 'dia', 'dukung', 'padahal', 'itu', 'kontrak', 'politik', 'mbg', 'terbukti', 'ladang', 'korupsi', 'jangan', 'percaya', 'kata', 'dia']","['benix', 'buzeer', 'mbg', 'dia', 'dukung', 'padahal', 'kontrak', 'politik', 'mbg', 'terbukti', 'ladang', 'korupsi', 'jangan', 'percaya', 'kata', 'dia']",benix buzeer mbg dia dukung padahal kontrak politik mbg bukti ladang korupsi jangan percaya kata dia
Jika ingin mendapatkan informasi tentang investasi yang factual dan perkembangan ekonomi menurut saya Bennix paling tepat. Informasinya valid dan prediksinya akurat.,@Kusumo2166,0,Netral,Jika ingin mendapatkan informasi tentang investasi yang factual dan perkembangan ekonomi menurut saya Bennix paling tepat Informasinya valid dan prediksinya akurat,jika ingin mendapatkan informasi tentang investasi yang factual dan perkembangan ekonomi menurut saya bennix paling tepat informasinya valid dan prediksinya akurat,"['jika', 'ingin', 'mendapatkan', 'informasi', 'tentang', 'investasi', 'yang', 'factual', 'dan', 'perkembangan', 'ekonomi', 'menurut', 'saya', 'bennix', 'paling', 'tepat', 'informasinya', 'valid', 'dan', 'prediksinya', 'akurat']","['jika', 'ingin', 'mendapatkan', 'informasi', 'tentang', 'investasi', 'factual', 'perkembangan', 'ekonomi', 'menurut', 'bennix', 'paling', 'tepat', 'informasinya', 'valid', 'prediksinya', 'akurat']",jika ingin dapat informasi tentang investasi factual kembang ekonomi turut bennix paling tepat informasi valid prediksi akurat
Orang yg berkeliaran cm bikin rusuh aja ternyata bnyak nitizen asing sengaja nkri rusuh 😮😮😮,@cholis.6770,0,Netral,Orang yg berkeliaran cm bikin rusuh aja ternyata bnyak nitizen asing sengaja nkri rusuh,orang yg berkeliaran cm bikin rusuh aja ternyata bnyak nitizen asing sengaja nkri rusuh,"['orang', 'yg', 'berkeliaran', 'cm', 'bikin', 'rusuh', 'aja', 'ternyata', 'bnyak', 'nitizen', 'asing', 'sengaja', 'nkri', 'rusuh']","['orang', 'yg', 'berkeliaran', 'cm', 'bikin', 'rusuh', 'aja', 'ternyata', 'bnyak', 'nitizen', 'asing', 'sengaja', 'nkri', 'rusuh']",orang yg liar cm bikin rusuh aja nyata bnyak nitizen asing sengaja nkri rusuh
"seneng kali si goblok ini sama investor asing, kapan mandirinya kita otakmu gitu ben2",@jibrilagung,0,Netral,seneng kali si goblok ini sama investor asing kapan mandirinya kita otakmu gitu ben,seneng kali si goblok ini sama investor asing kapan mandirinya kita otakmu gitu ben,"['seneng', 'kali', 'si', 'goblok', 'ini', 'sama', 'investor', 'asing', 'kapan', 'mandirinya', 'kita', 'otakmu', 'gitu', 'ben']","['seneng', 'kali', 'si', 'goblok', 'sama', 'investor', 'asing', 'kapan', 'mandirinya', 'otakmu', 'gitu', 'ben']",neng kali si goblok sama investor asing kapan mandiri otak gitu ben
Dasar penjilat zionis,@bryan-h9p2y,0,Netral,Dasar penjilat zionis,dasar penjilat zionis,"['dasar', 'penjilat', 'zionis']","['dasar', 'penjilat', 'zionis']",dasar jilat zionis
Kau penjilat zionis bangsat,@bryan-h9p2y,0,Netral,Kau penjilat zionis bangsat,kau penjilat zionis bangsat,"['kau', 'penjilat', 'zionis', 'bangsat']","['kau', 'penjilat', 'zionis', 'bangsat']",kau jilat zionis bangsat
Kau tu penjilat zionis,@bryan-h9p2y,0,Netral,Kau tu penjilat zionis,kau tu penjilat zionis,"['kau', 'tu', 'penjilat', 'zionis']","['kau', 'tu', 'penjilat', 'zionis']",kau tu jilat zionis
"Mantap bang Bennix lanjut.....,👍👍👍",@gamerl9484,0,Positif,Mantap bang Bennix lanjut,mantap bang bennix lanjut,"['mantap', 'bang', 'bennix', 'lanjut']","['mantap', 'bang', 'bennix', 'lanjut']",mantap bang bennix lanjut
Jongos jongos asing berseliweran di negeri ini...mereka menginginkan pemerintahan prabowo hancur...salah satu cara..memberitakan kabar bohong....yg berasal dari singapore....apalagi ada berita kalau perdana menteri italia menolak kedatangannya prabowo...wah..wah...gk boleh datang gk madalah..ke perancis disambut dgn meriah..ke belanda..ke rusia juga sama....yah mungkin karena export satu pintu yg dicanangkan pk prabowo.....katanya prabowo tidak pro rakyat......,@soebarto2025,0,Negatif,Jongos jongos asing berseliweran di negeri inimereka menginginkan pemerintahan prabowo hancursalah satu caramemberitakan kabar bohongyg berasal dari singaporeapalagi ada berita kalau perdana menteri italia menolak kedatangannya prabowowahwahgk boleh datang gk madalahke perancis disambut dgn meriahke belandake rusia juga samayah mungkin karena export satu pintu yg dicanangkan pk prabowokatanya prabowo tidak pro rakyat,jongos jongos asing berseliweran di negeri inimereka menginginkan pemerintahan prabowo hancursalah satu caramemberitakan kabar bohongyg berasal dari singaporeapalagi ada berita kalau perdana menteri italia menolak kedatangannya prabowowahwahgk boleh datang gk madalahke perancis disambut dgn meriahke belandake rusia juga samayah mungkin karena export satu pintu yg dicanangkan pk prabowokatanya prabowo tidak pro rakyat,"['jongos', 'jongos', 'asing', 'berseliweran', 'di', 'negeri', 'inimereka', 'menginginkan', 'pemerintahan', 'prabowo', 'hancursalah', 'satu', 'caramemberitakan', 'kabar', 'bohongyg', 'berasal', 'dari', 'singaporeapalagi', 'ada', 'berita', 'kalau', 'perdana', 'menteri', 'italia', 'menolak', 'kedatangannya', 'prabowowahwahgk', 'boleh', 'datang', 'gk', 'madalahke', 'perancis', 'disambut', 'dgn', 'meriahke', 'belandake', 'rusia', 'juga', 'samayah', 'mungkin', 'karena', 'export', 'satu', 'pintu', 'yg', 'dicanangkan', 'pk', 'prabowokatanya', 'prabowo', 'tidak', 'pro', 'rakyat']","['jongos', 'jongos', 'asing', 'berseliweran', 'negeri', 'inimereka', 'menginginkan', 'pemerintahan', 'prabowo', 'hancursalah', 'satu', 'caramemberitakan', 'kabar', 'bohongyg', 'berasal', 'singaporeapalagi', 'ada', 'berita', 'kalau', 'perdana', 'menteri', 'italia', 'menolak', 'kedatangannya', 'prabowowahwahgk', 'boleh', 'datang', 'gk', 'madalahke', 'perancis', 'disambut', 'dgn', 'meriahke', 'belandake', 'rusia', 'samayah', 'mungkin', 'export', 'satu', 'pintu', 'yg', 'dicanangkan', 'pk', 'prabowokatanya', 'prabowo', 'tidak', 'pro', 'rakyat']",jongos jongos asing seliwer negeri inimereka ingin perintah prabowo hancursalah satu caramemberitakan kabar bohongyg asal singaporeapalagi ada berita kalau perdana menteri italia tolak datang prabowowahwahgk boleh datang gk madalahke perancis sambut dgn meriahke belandake rusia samayah mungkin export satu pintu yg canang pk prabowokatanya prabowo tidak pro rakyat
Berantem sesama Indonesia tapi menjilat ke aseng 😅,@basdol,0,Netral,Berantem sesama Indonesia tapi menjilat ke aseng,berantem sesama indonesia tapi menjilat ke aseng,"['berantem', 'sesama', 'indonesia', 'tapi', 'menjilat', 'ke', 'aseng']","['berantem', 'sesama', 'indonesia', 'tapi', 'menjilat', 'aseng']",antem sama indonesia tapi jilat aseng
"Penyebaran hoax oleh media seperti Tempo, itu perlu diproses hukum.  Media tukang penyebar hoax, fitnah & pemecah belah bangsa.",@randypea.official,0,Netral,Penyebaran hoax oleh media seperti Tempo itu perlu diproses hukum Media tukang penyebar hoax fitnah pemecah belah bangsa,penyebaran hoax oleh media seperti tempo itu perlu diproses hukum media tukang penyebar hoax fitnah pemecah belah bangsa,"['penyebaran', 'hoax', 'oleh', 'media', 'seperti', 'tempo', 'itu', 'perlu', 'diproses', 'hukum', 'media', 'tukang', 'penyebar', 'hoax', 'fitnah', 'pemecah', 'belah', 'bangsa']","['penyebaran', 'hoax', 'oleh', 'media', 'seperti', 'tempo', 'perlu', 'diproses', 'hukum', 'media', 'tukang', 'penyebar', 'hoax', 'fitnah', 'pemecah', 'belah', 'bangsa']",sebar hoax oleh media seperti tempo perlu proses hukum media tukang sebar hoax fitnah pecah belah bangsa
media sebar hoax biar mau nyerok doang pak wkwkw,@mfarissestiyodha2110,0,Netral,media sebar hoax biar mau nyerok doang pak wkwkw,media sebar hoax biar mau nyerok doang pak wkwkw,"['media', 'sebar', 'hoax', 'biar', 'mau', 'nyerok', 'doang', 'pak', 'wkwkw']","['media', 'sebar', 'hoax', 'biar', 'mau', 'nyerok', 'doang', 'pak', 'wkwkw']",media sebar hoax biar mau nyerok doang pak wkwkw
Hmm nampaknya media asing tempe bacem dan anjing2 peliharaan G soros ini butuh MBG juga biar IQ nya ga jongkok di 50 🤔. Ya minimal naik ke 80 sdh lumayan sepertinya 🤔,@putufandy9490,0,Netral,Hmm nampaknya media asing tempe bacem dan anjing peliharaan G soros ini butuh MBG juga biar IQ nya ga jongkok di Ya minimal naik ke sdh lumayan sepertinya,hmm nampaknya media asing tempe bacem dan anjing peliharaan g soros ini butuh mbg juga biar iq nya ga jongkok di ya minimal naik ke sdh lumayan sepertinya,"['hmm', 'nampaknya', 'media', 'asing', 'tempe', 'bacem', 'dan', 'anjing', 'peliharaan', 'g', 'soros', 'ini', 'butuh', 'mbg', 'juga', 'biar', 'iq', 'nya', 'ga', 'jongkok', 'di', 'ya', 'minimal', 'naik', 'ke', 'sdh', 'lumayan', 'sepertinya']","['hmm', 'nampaknya', 'media', 'asing', 'tempe', 'bacem', 'anjing', 'peliharaan', 'g', 'soros', 'butuh', 'mbg', 'biar', 'iq', 'nya', 'ga', 'jongkok', 'ya', 'minimal', 'naik', 'sdh', 'lumayan', 'sepertinya']",hmm nampaknya media asing tempe bacem anjing pelihara g soros butuh mbg biar iq nya ga jongkok ya minimal naik sdh lumayan seperti
Memang banyak penghianat di Indonesia,@hilyatul_ainchanel9954,0,Netral,Memang banyak penghianat di Indonesia,memang banyak penghianat di indonesia,"['memang', 'banyak', 'penghianat', 'di', 'indonesia']","['memang', 'banyak', 'penghianat', 'indonesia']",memang banyak penghianat indonesia
"Walaupun menurut bang bennix indonesia masih bagus, tapi barat menganggap indonesia membangkang dan harus di rusak bursa efek biar hancur negaranya 😅",@Asterisk-27,0,Positif,Walaupun menurut bang bennix indonesia masih bagus tapi barat menganggap indonesia membangkang dan harus di rusak bursa efek biar hancur negaranya,walaupun menurut bang bennix indonesia masih bagus tapi barat menganggap indonesia membangkang dan harus di rusak bursa efek biar hancur negaranya,"['walaupun', 'menurut', 'bang', 'bennix', 'indonesia', 'masih', 'bagus', 'tapi', 'barat', 'menganggap', 'indonesia', 'membangkang', 'dan', 'harus', 'di', 'rusak', 'bursa', 'efek', 'biar', 'hancur', 'negaranya']","['walaupun', 'menurut', 'bang', 'bennix', 'indonesia', 'masih', 'bagus', 'tapi', 'barat', 'menganggap', 'indonesia', 'membangkang', 'harus', 'rusak', 'bursa', 'efek', 'biar', 'hancur', 'negaranya']",walaupun turut bang bennix indonesia masih bagus tapi barat anggap indonesia bangkang harus rusak bursa efek biar hancur negara
Yang gelap itu isi kepala org yang.... ??? Lanjut kan!!!!!!,@rawingshag9439,0,Netral,Yang gelap itu isi kepala org yang Lanjut kan,yang gelap itu isi kepala org yang lanjut kan,"['yang', 'gelap', 'itu', 'isi', 'kepala', 'org', 'yang', 'lanjut', 'kan']","['gelap', 'isi', 'kepala', 'org', 'lanjut', 'kan']",gelap isi kepala org lanjut kan
MSCI cma kritisi IDX kalo diperbaiki ya positiflah  IDX .... INGET IDX MASIH LEBIH TRANSPARAN DAN BEBAS dari negara asia lain .... cuma kita gampang kena sentiment negatif bukan  nurut sama data yg BAGUS dari MSCI .... INGAT INVESTOR EKONOMI.... GLOBAL MAUNYA LIBERAL TRANSPARAN itu maunya investor asing....,@catsrandomfunny,0,Positif,MSCI cma kritisi IDX kalo diperbaiki ya positiflah IDX INGET IDX MASIH LEBIH TRANSPARAN DAN BEBAS dari negara asia lain cuma kita gampang kena sentiment negatif bukan nurut sama data yg BAGUS dari MSCI INGAT INVESTOR EKONOMI GLOBAL MAUNYA LIBERAL TRANSPARAN itu maunya investor asing,msci cma kritisi idx kalo diperbaiki ya positiflah idx inget idx masih lebih transparan dan bebas dari negara asia lain cuma kita gampang kena sentiment negatif bukan nurut sama data yg bagus dari msci ingat investor ekonomi global maunya liberal transparan itu maunya investor asing,"['msci', 'cma', 'kritisi', 'idx', 'kalo', 'diperbaiki', 'ya', 'positiflah', 'idx', 'inget', 'idx', 'masih', 'lebih', 'transparan', 'dan', 'bebas', 'dari', 'negara', 'asia', 'lain', 'cuma', 'kita', 'gampang', 'kena', 'sentiment', 'negatif', 'bukan', 'nurut', 'sama', 'data', 'yg', 'bagus', 'dari', 'msci', 'ingat', 'investor', 'ekonomi', 'global', 'maunya', 'liberal', 'transparan', 'itu', 'maunya', 'investor', 'asing']","['msci', 'cma', 'kritisi', 'idx', 'kalo', 'diperbaiki', 'ya', 'positiflah', 'idx', 'inget', 'idx', 'masih', 'lebih', 'transparan', 'bebas', 'negara', 'asia', 'lain', 'cuma', 'gampang', 'kena', 'sentiment', 'negatif', 'bukan', 'nurut', 'sama', 'data', 'yg', 'bagus', 'msci', 'ingat', 'investor', 'ekonomi', 'global', 'maunya', 'liberal', 'transparan', 'maunya', 'investor', 'asing']",msci cma kritisi idx kalo baik ya positif idx inget idx masih lebih transparan bebas negara asia lain cuma gampang kena sentiment negatif bukan nurut sama data yg bagus msci ingat investor ekonomi global mau liberal transparan mau investor asing
penghianat bangsa mana seneng dibeberkan fakta begini,@tuanmudo7324,0,Netral,penghianat bangsa mana seneng dibeberkan fakta begini,penghianat bangsa mana seneng dibeberkan fakta begini,"['penghianat', 'bangsa', 'mana', 'seneng', 'dibeberkan', 'fakta', 'begini']","['penghianat', 'bangsa', 'mana', 'seneng', 'dibeberkan', 'fakta', 'begini']",penghianat bangsa mana neng beber fakta begini
Memang Anjing Antek AS di Indonesia ikut memprovokasi buat kerusuhan termasuk si Anjing Yaman Bangsat BusEdan,@charleswiggins83,0,Netral,Memang Anjing Antek AS di Indonesia ikut memprovokasi buat kerusuhan termasuk si Anjing Yaman Bangsat BusEdan,memang anjing antek as di indonesia ikut memprovokasi buat kerusuhan termasuk si anjing yaman bangsat busedan,"['memang', 'anjing', 'antek', 'as', 'di', 'indonesia', 'ikut', 'memprovokasi', 'buat', 'kerusuhan', 'termasuk', 'si', 'anjing', 'yaman', 'bangsat', 'busedan']","['memang', 'anjing', 'antek', 'as', 'indonesia', 'ikut', 'memprovokasi', 'buat', 'kerusuhan', 'termasuk', 'si', 'anjing', 'yaman', 'bangsat', 'busedan']",memang anjing antek as indonesia ikut provokasi buat rusuh masuk si anjing yaman bangsat busedan
Indonesia adalah surga dunia . apa aja ada d Indonesia . tanahnya subur . semakin kalian mau hancurkan Indonesia . semakin maju Indonesia .,@Agustriady-s2y,0,Netral,Indonesia adalah surga dunia apa aja ada d Indonesia tanahnya subur semakin kalian mau hancurkan Indonesia semakin maju Indonesia,indonesia adalah surga dunia apa aja ada d indonesia tanahnya subur semakin kalian mau hancurkan indonesia semakin maju indonesia,"['indonesia', 'adalah', 'surga', 'dunia', 'apa', 'aja', 'ada', 'd', 'indonesia', 'tanahnya', 'subur', 'semakin', 'kalian', 'mau', 'hancurkan', 'indonesia', 'semakin', 'maju', 'indonesia']","['indonesia', 'surga', 'dunia', 'apa', 'aja', 'ada', 'd', 'indonesia', 'tanahnya', 'subur', 'semakin', 'kalian', 'mau', 'hancurkan', 'indonesia', 'semakin', 'maju', 'indonesia']",indonesia surga dunia apa aja ada d indonesia tanah subur makin kalian mau hancur indonesia makin maju indonesia
"Kebanyakan media di indo penghianat bangsa,demi cuan pribadi,",@AsmaniAs-y2u,0,Netral,Kebanyakan media di indo penghianat bangsademi cuan pribadi,kebanyakan media di indo penghianat bangsademi cuan pribadi,"['kebanyakan', 'media', 'di', 'indo', 'penghianat', 'bangsademi', 'cuan', 'pribadi']","['kebanyakan', 'media', 'indo', 'penghianat', 'bangsademi', 'cuan', 'pribadi']",banyak media indo penghianat bangsademi cuan pribadi
"BERSAMA KITA KUAT
MAJU INDONESIAKU❤❤❤",@rafliunsan6620,2,Netral,BERSAMA KITA KUAT MAJU INDONESIAKU,bersama kita kuat maju indonesiaku,"['bersama', 'kita', 'kuat', 'maju', 'indonesiaku']","['bersama', 'kuat', 'maju', 'indonesiaku']",sama kuat maju indonesia
Full pengkhianat bangsa d indo,@tarmidzidaud1934,0,Netral,Full pengkhianat bangsa d indo,full pengkhianat bangsa d indo,"['full', 'pengkhianat', 'bangsa', 'd', 'indo']","['full', 'pengkhianat', 'bangsa', 'd', 'indo']",full khianat bangsa d indo
Anjing soros itu...si Tempe ???🤔,@andida01,0,Netral,Anjing soros itusi Tempe,anjing soros itusi tempe,"['anjing', 'soros', 'itusi', 'tempe']","['anjing', 'soros', 'itusi', 'tempe']",anjing soros itusi tempe
jilatt teruss 😂,@prewok2512,0,Netral,jilatt teruss,jilatt teruss,"['jilatt', 'teruss']","['jilatt', 'teruss']",jilatt teruss
"Klo digambar ttg Bursa,,kyk nya diserang nih pak Purbaya 🤣🤣🤣🤣🤣
Pak Prabowo alias Gemoy pasti ketawa² nih di Pojokan akibat para kelakuan ologarki bodoh🤣🤣🤣",@davidsimarmata1076,0,Netral,Klo digambar ttg Bursakyk nya diserang nih pak Purbaya Pak Prabowo alias Gemoy pasti ketawa nih di Pojokan akibat para kelakuan ologarki bodoh,klo digambar ttg bursakyk nya diserang nih pak purbaya pak prabowo alias gemoy pasti ketawa nih di pojokan akibat para kelakuan ologarki bodoh,"['klo', 'digambar', 'ttg', 'bursakyk', 'nya', 'diserang', 'nih', 'pak', 'purbaya', 'pak', 'prabowo', 'alias', 'gemoy', 'pasti', 'ketawa', 'nih', 'di', 'pojokan', 'akibat', 'para', 'kelakuan', 'ologarki', 'bodoh']","['klo', 'digambar', 'ttg', 'bursakyk', 'nya', 'diserang', 'nih', 'pak', 'purbaya', 'pak', 'prabowo', 'alias', 'gemoy', 'pasti', 'ketawa', 'nih', 'pojokan', 'akibat', 'para', 'kelakuan', 'ologarki', 'bodoh']",klo gambar ttg bursakyk nya serang nih pak purbaya pak prabowo alias gemoy pasti ketawa nih pojok akibat para laku ologarki bodoh
"mental sangat berpengaruh terhadap perilaku orang untuk investasi, dan mental tersebut dikendalikan oleh media...",@DombaSesat,0,Netral,mental sangat berpengaruh terhadap perilaku orang untuk investasi dan mental tersebut dikendalikan oleh media,mental sangat berpengaruh terhadap perilaku orang untuk investasi dan mental tersebut dikendalikan oleh media,"['mental', 'sangat', 'berpengaruh', 'terhadap', 'perilaku', 'orang', 'untuk', 'investasi', 'dan', 'mental', 'tersebut', 'dikendalikan', 'oleh', 'media']","['mental', 'sangat', 'berpengaruh', 'terhadap', 'perilaku', 'orang', 'investasi', 'mental', 'tersebut', 'dikendalikan', 'oleh', 'media']",mental sangat pengaruh hadap perilaku orang investasi mental sebut kendali oleh media
Indo kalah sama 2 negara ini CHINA & TIMOR LESTE,@MoazzamTVN,0,Netral,Indo kalah sama negara ini CHINA TIMOR LESTE,indo kalah sama negara ini china timor leste,"['indo', 'kalah', 'sama', 'negara', 'ini', 'china', 'timor', 'leste']","['indo', 'kalah', 'sama', 'negara', 'china', 'timor', 'leste']",indo kalah sama negara china timor leste
